GISJN_TCT,prcp,tmax,tmin
G13013180103,1506.3333333333333,22.200913242009133,10.406392694063927
G13013180104,1551.6666666666667,22.08949771689498,10.401369863013699
G13013180105,1521.6666666666667,22.204109589041096,10.40228310502283
G13013180106,1515.3333333333333,22.15433789954338,10.411415525114155
G13013180107,1597,22.17579908675799,10.37351598173516
G13013180108,1564.3333333333333,22.151141552511415,10.372602739726027
G13013180203,1549.3333333333333,22.284474885844748,10.366666666666667
G13013180204,1527,22.359817351598174,10.373972602739727
G13013180205,1578,22.213698630136985,10.360730593607306
G13013180206,1527.6666666666667,22.34931506849315,10.401369863013699
G13013180301,1530.3333333333333,22.328310502283106,10.384018264840183
G13013180302,1502.3333333333333,22.374429223744293,10.407762557077625
G13013180303,1559,22.263013698630136,10.389041095890411
G13013180401,1584,22.343835616438355,10.426027397260274
G13013180402,1685.3333333333333,22.4027397260274,10.452511415525114
G13013180501,1550.3333333333333,22.354337899543378,10.378082191780821
G13013180502,1492,22.54794520547945,10.414155251141553
G13013180503,1531.3333333333333,22.41187214611872,10.365296803652969
G13015960101,1379.6666666666667,22.563470319634703,9.988584474885844
G13015960102,1389,22.494063926940637,9.833789954337899
G13015960200,1317,22.58949771689498,9.773972602739725
G13015960300,1303.6666666666667,22.483561643835614,9.655707762557077
G13015960401,1319.6666666666667,22.710045662100455,9.828310502283106
G13015960402,1325,22.732876712328768,9.873972602739727
G13015960500,1310,22.724657534246575,9.817351598173516
G13015960600,1315,22.80091324200913,9.90730593607306
G13015960700,1397.6666666666667,22.409132420091325,9.752511415525115
G13015960801,1375,22.427397260273974,9.808675799086759
G13015960802,1362,22.442465753424656,9.811872146118722
G13015960803,1343,22.56392694063927,9.82054794520548
G13015960901,1279,22.836073059360732,9.897716894977169
G13015960902,1318,22.61095890410959,9.725570776255708
G13015961000,1277.3333333333333,22.825570776255706,9.79041095890411
G13035150100,1468.3333333333333,23.531963470319635,10.685388127853882
G13035150200,1475.3333333333333,23.428310502283104,10.684931506849315
G13035150300,1452,23.38447488584475,10.71324200913242
G13045910101,1451.6666666666667,22.035616438356165,9.668493150684931
G13045910103,1498,21.966666666666665,9.657990867579908
G13045910104,1423.3333333333333,22.029680365296805,9.57716894977169
G13045910200,1454.3333333333333,21.97077625570776,9.559360730593607
G13045910300,1483,21.924657534246574,9.548401826484017
G13045910400,1497.3333333333333,22.071689497716896,9.580821917808219
G13045910501,1519.6666666666667,22.224657534246575,9.776712328767124
G13045910502,1522.3333333333333,22.295890410958904,9.830593607305936
G13045910600,1481.3333333333333,22.265753424657536,9.817351598173516
G13045910701,1540.3333333333333,22.134246575342466,9.840639269406392
G13045910702,1551.6666666666667,21.878995433789957,9.742922374429224
G13045910703,1491.6666666666667,22.17808219178082,9.800913242009132
G13045910800,1470.6666666666667,22.66118721461187,10.126027397260273
G13045910900,1573.6666666666667,22.293150684931508,9.75296803652968
G13045911000,1560.6666666666667,22.328767123287673,9.88082191780822
G13045911100,1515,22.417351598173514,9.852054794520548
G13045911200,1474,22.477625570776258,9.759360730593606
G13057090100,1457.6666666666667,22.31461187214612,10.214155251141552
G13057090200,1460.3333333333333,21.993150684931507,9.771689497716896
G13057090300,1439,22.457077625570776,9.931506849315069
G13057090400,1512.3333333333333,22.021461187214612,9.875342465753425
G13057090501,1532,22.054794520547944,10.015068493150684
G13057090502,1546.6666666666667,21.800456621004567,9.897260273972602
G13057090601,1470.6666666666667,22.156621004566208,9.88675799086758
G13057090602,1474.3333333333333,22.29132420091324,9.997260273972604
G13057090701,1437,22.317351598173516,9.908675799086758
G13057090702,1451.3333333333333,22.148858447488585,9.883561643835616
G13057090802,1476.3333333333333,22.203196347031962,10.029680365296803
G13057090803,1412.3333333333333,22.389497716894976,10.04109589041096
G13057090804,1401,22.42876712328767,10.084931506849315
G13057090901,1422.3333333333333,22.255707762557076,10.038812785388128
G13057090902,1392.6666666666667,22.317351598173516,10.105022831050228
G13057090904,1373.6666666666667,22.482191780821918,10.090867579908675
G13057090905,1392,22.38812785388128,10.061643835616438
G13057091001,1393,22.321461187214613,9.986301369863014
G13057091003,1386.6666666666667,22.210045662100455,9.88812785388128
G13057091005,1396.3333333333333,22.230593607305938,9.893607305936072
G13057091006,1407.3333333333333,22.215525114155252,9.857534246575343
G13057091007,1408.6666666666667,22.4324200913242,9.93744292237443
G13057091008,1401.3333333333333,22.39908675799087,9.987671232876712
G13057091101,1402.6666666666667,22.393150684931506,9.86849315068493
G13057091102,1414.3333333333333,22.13744292237443,9.7785388127853885
G13057091103,1379,22.39041095890411,9.867579908675799
G13063040202,1563.3333333333333,22.705936073059362,10.7013698630137
G13063040203,1600.6666666666667,22.59406392694064,10.647031963470319
G13063040204,1610.3333333333333,22.48401826484018,10.641552511415526
G13063040302,1575.3333333333333,22.61552511415525,10.70593607305936
G13063040303,1542.3333333333333,22.715525114155252,10.722374429223745
G13063040306,1574.6666666666667,22.5986301369863,10.689954337899543
G13063040307,1568,22.630593607305936,10.71552511415525
G13063040308,1585,22.548401826484017,10.687671232876712
G13063040407,1544,22.631963470319636,10.724657534246575
G13063040408,1539.6666666666667,22.725570776255708,10.74566210045662
G13063040409,1549.6666666666667,22.817808219178083,10.766666666666667
G13063040410,1540.6666666666667,22.666666666666668,10.728767123287671
G13063040411,1542.3333333333333,22.84794520547945,10.76986301369863
G13063040412,1535,22.838356164383562,10.768036529680366
G13063040413,1554.6666666666667,22.81187214611872,10.768949771689497
G13063040414,1560.3333333333333,22.704109589041096,10.731506849315068
G13063040415,1567.3333333333333,22.841552511415525,10.735616438356164
G13063040416,1551.3333333333333,22.775799086757992,10.741552511415525
G13063040417,1548,22.838356164383562,10.753881278538813
G13063040509,1611,22.656164383561645,10.674885844748859
G13063040510,1614.3333333333333,22.570319634703196,10.67123287671233
G13063040512,1562.6666666666667,22.801369863013697,10.70958904109589
G13063040513,1575.3333333333333,22.727397260273975,10.690867579908677
G13063040514,1576.3333333333333,22.7972602739726,10.713698630136987
G13063040515,1566,22.831963470319636,10.726027397260275
G13063040516,1569.3333333333333,22.79041095890411,10.724657534246575
G13063040518,1566.3333333333333,22.922374429223744,10.73972602739726
G13063040519,1598.6666666666667,22.63150684931507,10.677168949771689
G13063040520,1569.6666666666667,22.68447488584475,10.695433789954338
G13063040521,1576,22.78675799086758,10.72420091324201
G13063040522,1597,22.75159817351598,10.709132420091324
G13063040523,1589.3333333333333,22.687214611872147,10.70593607305936
G13063040524,1562.3333333333333,22.851141552511415,10.738812785388127
G13063040525,1559,22.97579908675799,10.749771689497717
G13063040526,1560.6666666666667,22.892694063926943,10.733333333333334
G13063040606,1571,22.878995433789953,10.741095890410959
G13063040608,1563,23.020091324200916,10.73607305936073
G13063040609,1560.3333333333333,22.74703196347032,10.74703196347032
G13063040611,1542.6666666666667,22.865753424657534,10.748858447488585
G13063040612,1550.6666666666667,22.80593607305936,10.73835616438356
G13063040613,1550,22.839726027397262,10.743835616438357
G13063040614,1549.6666666666667,22.9310502283105,10.777625570776255
G13063040615,1568.3333333333333,22.766666666666666,10.758904109589041
G13063040616,1559.3333333333333,22.857990867579908,10.775342465753424
G13063040617,1553.3333333333333,22.910045662100455,10.78310502283105
G13063040619,1570,22.900913242009132,10.747488584474885
G13063040620,1578,22.864383561643834,10.735616438356164
G13063040621,1542,22.90958904109589,10.740639269406392
G13063040622,1543,22.877625570776257,10.733333333333334
G13063980000,1603.6666666666667,22.47945205479452,10.637899543378996
G13067030101,1320.6666666666667,22.534246575342465,9.932876712328767
G13067030103,1334,22.551141552511414,9.979908675799086
G13067030104,1350,22.450228310502283,9.887671232876713
G13067030106,1356,22.403196347031965,9.89041095890411
G13067030107,1381.6666666666667,22.247945205479454,9.823744292237443
G13067030209,1347.3333333333333,22.41324200913242,10.068036529680365
G13067030214,1339.3333333333333,22.36255707762557,9.916438356164385
G13067030215,1381.6666666666667,22.130593607305936,9.771689497716896
G13067030218,1367,22.149315068493152,9.782648401826483
G13067030219,1317.3333333333333,22.316438356164383,9.825114155251141
G13067030220,1373.3333333333333,22.22511415525114,9.924200913242009
G13067030222,1384.6666666666667,22.151598173515982,9.844292237442922
G13067030223,1405,21.982648401826484,9.712785388127854
G13067030224,1367,22.22374429223744,9.813698630136987
G13067030226,1385,22.21826484018265,9.838812785388129
G13067030227,1396.3333333333333,22.06986301369863,9.758904109589041
G13067030228,1353,22.262557077625573,9.96255707762557
G13067030229,1354.6666666666667,22.352511415525115,10.003196347031963
G13067030230,1366.3333333333333,22.22146118721461,9.928310502283106
G13067030231,1364.3333333333333,22.277625570776255,9.946575342465753
G13067030232,1349.6666666666667,22.429680365296804,10.109132420091324
G13067030233,1383.3333333333333,22.322374429223746,10.080365296803652
G13067030234,1356.3333333333333,22.250228310502283,9.873059360730593
G13067030235,1356.3333333333333,22.26392694063927,9.920091324200914
G13067030236,1332,22.180365296803654,9.697260273972603
G13067030238,1361.6666666666667,22.131050228310503,9.684018264840182
G13067030239,1323,22.34657534246575,9.902283105022832
G13067030310,1377,22.312785388127853,9.975342465753425
G13067030311,1383,22.32648401826484,10.075799086757991
G13067030312,1403.6666666666667,22.169863013698627,10.014155251141553
G13067030313,1340,22.381735159817353,10.070319634703196
G13067030314,1417,22.090867579908675,10.008219178082191
G13067030318,1433.3333333333333,22.305022831050227,10.299086757990867
G13067030319,1449,22.24931506849315,10.277168949771688
G13067030320,1379.3333333333333,22.3351598173516,10.332876712328767
G13067030322,1427.3333333333333,21.989954337899544,10.006392694063926
G13067030324,1386.6666666666667,22.323287671232876,10.050228310502284
G13067030326,1417.6666666666667,22.05890410958904,10.019634703196347
G13067030327,1451.6666666666667,21.94200913242009,9.973059360730593
G13067030328,1441.3333333333333,22.04200913242009,10.074885844748858
G13067030329,1436,22.068036529680366,10.04703196347032
G13067030330,1437.6666666666667,22.13881278538813,10.110958904109589
G13067030331,1449.6666666666667,22.20365296803653,10.174885844748859
G13067030332,1444.6666666666667,22.239269406392694,10.222374429223745
G13067030333,1406.3333333333333,22.37716894977169,10.316438356164383
G13067030334,1437.3333333333333,22.26027397260274,10.26392694063927
G13067030335,1417.3333333333333,22.308675799086757,10.247945205479452
G13067030336,1444.3333333333333,22.263013698630136,10.248401826484018
G13067030337,1434.3333333333333,22.349771689497718,10.303196347031964
G13067030339,1376.3333333333333,22.531963470319635,10.485844748858447
G13067030340,1415,22.016438356164382,9.976712328767123
G13067030341,1397.3333333333333,22.206392694063926,10.035616438356165
G13067030342,1409,22.11415525114155,10.078082191780823
G13067030343,1423,22.15616438356164,10.13013698630137
G13067030344,1374.3333333333333,22.343835616438355,10.332876712328767
G13067030345,1382.3333333333333,22.44109589041096,10.408219178082192
G13067030405,1384.6666666666667,22.268493150684932,10.235616438356164
G13067030407,1394.3333333333333,22.243835616438357,10.231963470319634
G13067030408,1377.6666666666667,22.24840182648402,10.259817351598173
G13067030409,1425,22.251141552511417,10.218721461187215
G13067030410,1403,22.242922374429224,10.200456621004566
G13067030411,1404,22.195890410958903,10.163013698630138
G13067030412,1387.6666666666667,22.279908675799085,10.226940639269406
G13067030413,1379,22.289497716894978,10.298630136986302
G13067030414,1369.6666666666667,22.358447488584474,10.323287671232876
G13067030502,1417.3333333333333,22.080365296803652,10.000456621004567
G13067030504,1441,22.015068493150686,9.994977168949772
G13067030505,1419,22.15525114155251,10.104109589041096
G13067030506,1389.3333333333333,22.085388127853882,9.955707762557077
G13067030507,1393.6666666666667,22.154794520547945,10.025570776255707
G13067030601,1383,22.119634703196347,9.9337899543379
G13067030602,1404.3333333333333,22.078995433789956,9.912785388127855
G13067030700,1423.6666666666667,22.068036529680366,10.000456621004567
G13067030800,1420.6666666666667,22.132876712328766,10.074885844748858
G13067030901,1385.3333333333333,22.301369863013697,10.09771689497717
G13067030902,1431.3333333333333,22.010045662100456,9.925114155251142
G13067030904,1405.6666666666667,22.201826484018266,10.078082191780823
G13067030905,1395.6666666666667,22.263470319634703,10.089954337899544
G13067031001,1405.3333333333333,22.248401826484017,10.197260273972603
G13067031002,1429,22.106392694063928,10.035159817351598
G13067031004,1415.6666666666667,22.210502283105022,10.132420091324201
G13067031005,1433.3333333333333,22.1324200913242,10.031050228310502
G13067031101,1418,22.30502283105023,10.245662100456622
G13067031106,1419,22.304566210045664,10.182648401826484
G13067031108,1410.3333333333333,22.216438356164385,10.229223744292238
G13067031110,1434,22.184931506849313,10.204109589041096
G13067031111,1410,22.315068493150683,10.318721461187215
G13067031112,1422.3333333333333,22.326940639269406,10.311415525114155
G13067031113,1392.3333333333333,22.325114155251143,10.288127853881278
G13067031114,1396.6666666666667,22.33881278538813,10.348401826484018
G13067031115,1404,22.436529680365297,10.2986301369863
G13067031116,1399.3333333333333,22.425570776255707,10.303652968036529
G13067031117,1404.6666666666667,22.43607305936073,10.304566210045662
G13067031118,1422.3333333333333,22.366666666666667,10.314611872146118
G13067031205,1388.3333333333333,22.744748858447487,10.617808219178082
G13067031206,1410.3333333333333,22.512328767123286,10.448858447488584
G13067031207,1399,22.50593607305936,10.47945205479452
G13067031208,1419.3333333333333,22.3,10.336986301369864
G13067031209,1429.3333333333333,22.331963470319636,10.338812785388127
G13067031211,1432.3333333333333,22.334703196347032,10.378995433789955
G13067031212,1398.6666666666667,22.62054794520548,10.545662100456621
G13067031306,1422.6666666666667,22.3662100456621,10.23972602739726
G13067031307,1431.6666666666667,22.33744292237443,10.253424657534246
G13067031308,1452.6666666666667,22.286757990867578,10.2337899543379
G13067031309,1429.3333333333333,22.41780821917808,10.265753424657534
G13067031310,1462.3333333333333,22.485844748858447,10.37716894977169
G13067031311,1466.3333333333333,22.428310502283104,10.355707762557078
G13067031312,1422.6666666666667,22.524657534246575,10.417808219178083
G13067031313,1417,22.51324200913242,10.442009132420091
G13067031404,1415.6666666666667,22.331050228310502,10.180365296803654
G13067031405,1372,22.423287671232877,10.19634703196347
G13067031406,1428.6666666666667,22.211872146118722,10.09634703196347
G13067031408,1392.3333333333333,22.451598173515983,10.195890410958905
G13067031409,1368.3333333333333,22.56392694063927,10.273059360730594
G13067031503,1363,22.42876712328767,10.14931506849315
G13067031505,1366,22.470319634703195,10.118721461187215
G13067031506,1366,22.424657534246574,10.089954337899544
G13067031507,1370,22.4689497716895,10.169863013698631
G13067031508,1356.6666666666667,22.404109589041095,10.015068493150684
G13067031509,1384.6666666666667,22.41004566210046,10.039269406392693
G13077170100,1522.3333333333333,22.96301369863014,10.231963470319634
G13077170200,1532.6666666666667,22.81324200913242,10.270776255707762
G13077170303,1514.6666666666667,22.93013698630137,10.367579908675799
G13077170304,1561,22.650228310502282,10.302739726027397
G13077170305,1573,22.70730593607306,10.35296803652968
G13077170306,1544,22.88310502283105,10.448401826484018
G13077170402,1555.6666666666667,22.635616438356163,10.46986301369863
G13077170403,1547.6666666666667,22.700456621004566,10.40958904109589
G13077170404,1554.6666666666667,22.77123287671233,10.47351598173516
G13077170405,1580.6666666666667,22.7675799086758,10.468949771689498
G13077170406,1565.3333333333333,22.689497716894977,10.476712328767123
G13077170501,1585.6666666666667,22.822374429223743,10.537899543378995
G13077170502,1594.3333333333333,22.9337899543379,10.568493150684931
G13077170503,1575.3333333333333,23.026027397260272,10.638356164383563
G13077170601,1598.3333333333333,22.636073059360733,10.273515981735159
G13077170602,1558.6666666666667,22.929223744292237,10.449771689497716
G13077170603,1573.3333333333333,22.934703196347034,10.499543378995433
G13077170700,1553.3333333333333,22.859360730593608,10.262557077625571
G13077170801,1566.6666666666667,23.02557077625571,10.323287671232876
G13077170802,1584,22.86255707762557,10.378538812785388
G13085970100,1686.6666666666667,21.487214611872147,9.836529680365297
G13085970201,1703.6666666666667,21.7662100456621,9.999086757990867
G13085970202,1651.3333333333333,21.735159817351597,10.002739726027398
G13089020100,1390.6666666666667,22.63744292237443,10.63744292237443
G13089020200,1425,22.42648401826484,10.617808219178082
G13089020300,1436.3333333333333,22.30730593607306,10.6013698630137
G13089020400,1433.3333333333333,22.32922374429224,10.598173515981735
G13089020500,1422.3333333333333,22.396803652968035,10.624657534246575
G13089020600,1422.3333333333333,22.396803652968035,10.624657534246575
G13089020700,1434.3333333333333,22.373059360730593,10.62283105022831
G13089020801,1452,22.28082191780822,10.591324200913242
G13089020802,1447,22.31095890410959,10.605936073059361
G13089020900,1475.6666666666667,22.383561643835616,10.636073059360731
G13089021101,1401.6666666666667,22.322374429223746,10.454337899543379
G13089021102,1397.6666666666667,22.34566210045662,10.485844748858447
G13089021202,1410,22.351141552511415,10.432876712328767
G13089021204,1415,22.341552511415525,10.473972602739726
G13089021208,1429,22.260730593607306,10.431050228310502
G13089021209,1420.6666666666667,22.284474885844748,10.441552511415525
G13089021210,1401,22.27990867579909,10.394977168949772
G13089021211,1401,22.247945205479454,10.400456621004565
G13089021213,1447.6666666666667,22.09406392694064,10.287671232876713
G13089021214,1425.3333333333333,22.205479452054796,10.333333333333334
G13089021215,1423,22.229680365296804,10.363013698630137
G13089021216,1414.3333333333333,22.34931506849315,10.424657534246576
G13089021217,1423.3333333333333,22.242922374429224,10.41095890410959
G13089021218,1417,22.305479452054794,10.424657534246576
G13089021301,1428,22.21004566210046,10.421917808219177
G13089021303,1412.6666666666667,22.2337899543379,10.447488584474886
G13089021305,1413.6666666666667,22.199543378995433,10.398630136986302
G13089021306,1428.6666666666667,22.170319634703194,10.410958904109588
G13089021307,1420,22.262100456621003,10.450228310502283
G13089021308,1420.3333333333333,22.34794520547945,10.475799086757991
G13089021405,1402.6666666666667,22.45936073059361,10.529223744292237
G13089021409,1422.3333333333333,22.479908675799088,10.529223744292237
G13089021410,1431,22.44703196347032,10.520547945205479
G13089021411,1408.3333333333333,22.4,10.499086757990868
G13089021412,1414.6666666666667,22.34611872146119,10.481278538812784
G13089021413,1417,22.48538812785388,10.538356164383561
G13089021414,1408,22.56392694063927,10.570319634703196
G13089021415,1409,22.41552511415525,10.529680365296803
G13089021416,1416.6666666666667,22.447945205479453,10.530593607305937
G13089021417,1395.3333333333333,22.58219178082192,10.589954337899544
G13089021502,1405.3333333333333,22.520091324200916,10.584018264840182
G13089021503,1424,22.40639269406393,10.553881278538812
G13089021504,1428.3333333333333,22.39406392694064,10.571689497716894
G13089021602,1430,22.41689497716895,10.570319634703196
G13089021603,1432.6666666666667,22.378082191780823,10.538812785388128
G13089021604,1435.3333333333333,22.402283105022832,10.537899543378995
